id,adresse IP,site,temps passé
1,115.199.131.20,WhatsApp,336.9
2,169.15.124.179,TikTok,250.5
3,169.15.124.179,QQ,51.0
4,169.15.124.179,WeChat,82.9
5,236.211.89.59,WhatsApp,283.0
6,236.211.89.59,Instagram,232.0
7,234.79.33.41,Instagram,261.2
8,197.121.136.20,WeChat,93.3
9,197.121.136.20,QQ,58.8
10,197.121.136.20,WhatsApp,302.6
11,197.121.136.20,Snapchat,227.7
12,197.121.136.20,Facebook Messenger,121.2
13,197.121.136.20,Pinterest,72.3
14,145.82.245.72,YouTube,491.6
15,145.82.245.72,WhatsApp,340.1
16,145.82.245.72,Facebook,127.5
17,145.82.245.72,Facebook Messenger,167.4
18,145.82.245.72,Snapchat,228.5
19,145.82.245.72,Twitch,94.7
20,145.82.245.72,X,159.1
21,145.82.245.72,LinkedIn,145.0
22,40.128.76.157,X,151.6
23,40.128.76.157,QQ,56.2
24,40.128.76.157,WhatsApp,275.9
25,40.128.76.157,Twitch,94.8
26,40.128.76.157,WeChat,134.8
27,40.128.76.157,LinkedIn,106.6
28,253.71.19.203,Instagram,338.7
29,253.71.19.203,QQ,53.5
30,253.71.19.203,YouTube,400.1
31,253.71.19.203,Snapchat,218.5
32,253.71.19.203,Pinterest,72.4
33,253.71.19.203,Facebook Messenger,188.2
34,253.71.19.203,WeChat,119.5
35,108.67.131.13,Facebook Messenger,153.1
36,108.67.131.13,Twitch,104.1
37,108.67.131.13,WeChat,98.3
38,108.67.131.13,Snapchat,243.1
39,108.67.131.13,Pinterest,116.2
40,185.0.56.65,WhatsApp,298.5
41,185.0.56.65,Pinterest,66.4
42,185.0.56.65,Facebook Messenger,157.6
43,185.0.56.65,X,140.8
44,185.0.56.65,Snapchat,308.2
45,208.226.209.182,Instagram,302.8
46,208.226.209.182,TikTok,262.9
47,208.226.209.182,Twitch,85.6
48,208.226.209.182,WeChat,54.6
49,113.235.142.95,Twitch,144.6
50,113.235.142.95,QQ,40.5
51,113.235.142.95,LinkedIn,172.1
52,113.235.142.95,TikTok,384.6
53,113.235.142.95,Pinterest,92.2
54,55.198.11.51,Facebook Messenger,147.8
55,55.198.11.51,YouTube,607.7
56,55.198.11.51,X,177.4
57,55.198.11.51,TikTok,292.5
58,55.198.11.51,Facebook,148.2
59,105.91.29.70,X,161.7
60,105.91.29.70,Snapchat,212.8
61,105.91.29.70,Facebook,183.2
62,105.91.29.70,TikTok,206.5
63,38.98.45.225,Pinterest,112.5
64,120.167.231.31,Snapchat,273.8
65,120.167.231.31,Pinterest,135.1
66,120.167.231.31,QQ,67.9
67,120.167.231.31,TikTok,370.1
68,120.167.231.31,Facebook,152.3
69,255.217.165.111,Facebook,176.8
70,255.217.165.111,Snapchat,310.1
71,255.217.165.111,QQ,63.2
72,255.217.165.111,YouTube,449.1
73,255.217.165.111,TikTok,201.8
74,255.217.165.111,X,165.4
75,255.217.165.111,Facebook Messenger,136.6
76,177.241.22.152,QQ,24.8
77,177.241.22.152,Facebook,216.0
78,177.241.22.152,WhatsApp,322.3
79,177.241.22.152,YouTube,621.0
80,177.241.22.152,Facebook Messenger,220.9
81,177.241.22.152,WeChat,95.5
82,177.241.22.152,Twitch,95.0
83,213.47.147.244,X,198.3
84,213.47.147.244,LinkedIn,172.5
85,213.47.147.244,WhatsApp,324.9
86,213.47.147.244,TikTok,227.4
87,123.188.187.100,YouTube,826.0
88,232.12.20.156,X,74.9
89,232.12.20.156,Facebook,125.7
90,232.12.20.156,YouTube,566.3
91,232.12.20.156,Facebook Messenger,209.8
92,232.12.20.156,LinkedIn,240.8
93,232.12.20.156,Instagram,257.9
94,232.12.20.156,Snapchat,222.3
95,34.205.121.50,Facebook Messenger,222.0
96,34.205.121.50,LinkedIn,141.2
97,34.205.121.50,Snapchat,311.4
98,34.205.121.50,YouTube,654.7
99,34.205.121.50,X,214.3
100,237.179.27.171,Pinterest,87.5
101,237.179.27.171,QQ,62.0
102,237.179.27.171,X,156.4
103,237.179.27.171,Facebook Messenger,149.6
104,237.179.27.171,Snapchat,360.4
105,237.179.27.171,LinkedIn,96.2
106,80.228.198.156,YouTube,375.3
107,80.228.198.156,Facebook,190.3
108,80.228.198.156,Pinterest,113.1
109,250.202.197.81,WeChat,71.1
110,250.202.197.81,QQ,62.7
111,250.202.197.81,WhatsApp,414.8
112,250.202.197.81,X,162.5
113,237.37.71.204,YouTube,575.5
114,237.37.71.204,Twitch,158.8
115,237.37.71.204,Facebook Messenger,174.4
116,237.37.71.204,TikTok,324.5
117,237.37.71.204,Snapchat,269.5
118,237.37.71.204,WhatsApp,283.5
119,237.37.71.204,Pinterest,57.9
120,237.37.71.204,QQ,38.7
121,184.229.85.21,Facebook Messenger,127.5
122,184.229.85.21,Snapchat,304.7
123,121.132.240.51,Facebook,191.4
124,121.132.240.51,QQ,31.9
125,121.132.240.51,TikTok,237.1
126,121.132.240.51,Pinterest,67.8
127,43.10.174.182,WeChat,73.8
128,43.10.174.182,Facebook Messenger,153.7
129,43.10.174.182,Instagram,403.2
130,43.10.174.182,YouTube,379.6
131,43.10.174.182,TikTok,451.2
132,153.125.156.59,Facebook Messenger,163.7
133,153.125.156.59,X,143.2
134,153.125.156.59,Twitch,125.7
135,153.125.156.59,QQ,77.8
136,153.125.156.59,Instagram,319.8
137,153.125.156.59,WhatsApp,156.7
138,104.44.2.208,X,121.5
139,104.44.2.208,Facebook Messenger,70.4
140,104.44.2.208,WhatsApp,271.5
141,104.44.2.208,Pinterest,20.5
142,104.44.2.208,YouTube,603.6
143,16.204.24.206,QQ,58.2
144,16.204.24.206,Twitch,87.4
145,16.204.24.206,X,138.8
146,16.204.24.206,WhatsApp,260.1
147,16.204.24.206,Instagram,406.3
